,time,ra,dec,maglim,comment,skynoise,band,zp
1496,60541.16022245389,265.75927616298867,-53.49415662840657,21.906630430128008,196241,345.44413503514727,lssty,30
1497,60541.160670191755,261.28743294496013,-52.64284268889868,21.810807156394617,196242,377.3176605930504,lssty,30
1498,60541.16292769177,264.82650096886056,-50.42561787632439,21.85710051450938,196247,361.56783590417155,lssty,30
1499,60541.16339381522,270.3846400815617,-54.1709118930743,21.875194732352572,196248,355.59209902273267,lssty,30
1500,60541.163841254194,269.1309311833342,-51.14137973667631,21.86682599246022,196249,358.3435556782698,lssty,30
1501,60541.177607551544,279.94172842577035,-54.96651359237485,21.83766431737579,196279,368.0986873247874,lssty,30
1502,60541.17941409125,279.2850661781986,-60.56191948467193,21.589263271873577,196283,462.726835603956,lssty,30
1503,60541.179864485464,276.97179294813486,-57.62748033195358,21.64970145143476,196284,437.6726565793727,lssty,30
1504,60541.18031320836,275.12622720565923,-54.66368767328981,21.71713305834892,196285,411.317106803596,lssty,30
1505,60541.180765226796,273.65916344665385,-60.202076023052605,21.66940981690462,196286,429.79966128879687,lssty,30
1506,60541.181219213315,268.1725886959242,-59.621249668872174,21.71052346488182,196287,413.82870284589825,lssty,30
1507,60541.18166565943,266.84106851166746,-56.55933004701586,21.70876372112447,196288,414.4999735891539,lssty,30
1508,60541.182113266965,262.8838753632549,-58.83261444688222,21.632455132236036,196289,444.68035404961677,lssty,30
1509,60541.18255929136,262.0086815065083,-55.73797997311404,21.61746295300449,196290,450.8632263173657,lssty,30
1510,60541.183006573316,265.75927616298867,-53.49415662840657,21.565091634078932,196291,473.1440053542342,lssty,30
1511,60541.18345487967,261.28743294496013,-52.64284268889868,21.501844417767387,196292,501.5245865404163,lssty,30
1512,60541.185709544436,264.82650096886056,-50.42561787632439,21.63068729204285,196297,445.4049906110207,lssty,30
1513,60541.18617566789,270.3846400815617,-54.1709118930743,21.5681584056219,196298,471.80944801848926,lssty,30
1514,60541.18662218247,269.1309311833342,-51.14137973667631,21.55046654568347,196299,479.56047025290025,lssty,30
1515,60543.99705177621,264.63825095530194,-50.273061779135254,24.553146387593937,197049,30.183628061843457,lsstg,30
1516,60543.997515371426,269.14075022124706,-51.03891303326656,24.54668444103321,197050,30.363806788383993,lsstg,30
1517,60543.997975923274,273.7976705623155,-51.64384364439771,24.509256807651685,197051,31.428761884178066,lsstg,30
1518,60543.998517660155,261.37573566914944,-52.401471769112675,24.5239263249824,197052,31.006979752827455,lsstg,30
1519,60543.9989830567,266.11804015259446,-53.276623259730876,24.515583108995113,197053,31.24616717820917,lsstg,30
1520,60543.999474822725,276.15300336710396,-54.48635156763637,24.49133203342889,197054,31.95193634288061,lsstg,30
1521,60544.000417891926,273.3669819123804,-56.846180358280016,24.48366118022691,197056,32.1784798439284,lsstg,30
1522,60544.00088093001,267.94329191523246,-56.23024685666031,24.496267740614552,197057,31.807013954824278,lsstg,30
1523,60544.00134564622,262.7330998531199,-55.40510201424876,24.50606529435695,197058,31.52128240514373,lsstg,30
1524,60544.00320431822,264.41575274269763,-58.37191579632429,24.57179479889378,197062,29.669626290163972,lsstg,30
1525,60544.003700044224,276.15562736049554,-59.624079841965596,24.54662501657213,197063,30.36546870425791,lsstg,30
1526,60544.004163684825,270.1715236135145,-59.12404364536773,24.56177010456337,197064,29.944837029340277,lsstg,30
1527,60544.00461974617,266.48635213158536,-61.2966620397172,24.5456017531939,197065,30.39410044607238,lsstg,30
1528,60544.022383328374,264.63825095530194,-50.273061779135254,24.232481013833493,197099,40.5543635545518,lsstr,30
1529,60544.02284692359,269.14075022124706,-51.03891303326656,24.23155902215594,197100,40.58881636719381,lsstr,30
1530,60544.023307475436,273.7976705623155,-51.64384364439771,24.227059307888126,197101,40.75738130994892,lsstr,30
1531,60544.02385651674,261.37573566914944,-52.401471769112675,24.218925546463122,197102,41.063860612142555,lsstr,30
1532,60544.02432191328,266.11804015259446,-53.276623259730876,24.21842840505937,197103,41.082667408563786,lsstr,30
1533,60544.02482593447,276.15300336710396,-54.48635156763637,24.20926156582044,197104,41.43099556924385,lsstr,30
1534,60544.025769003674,273.3669819123804,-56.846180358280016,24.322492061819258,197106,37.32786673222143,lsstr,30
1535,60544.02623204176,267.94329191523246,-56.23024685666031,24.328101138098322,197107,37.13552263418569,lsstr,30
1536,60544.02669675797,262.7330998531199,-55.40510201424876,24.32930542026536,197108,37.094355309787495,lsstr,30
1537,60544.02855542997,264.41575274269763,-58.37191579632429,24.256210612042818,197112,39.67763252185573,lsstr,30
1538,60544.02905115597,276.15562736049554,-59.624079841965596,24.213668037910608,197113,41.26318818152377,lsstr,30
1539,60544.02951479657,270.1715236135145,-59.12404364536773,24.245727577875495,197114,40.06258465092044,lsstr,30
1540,60544.02997085792,266.48635213158536,-61.2966620397172,24.187481302317796,197115,42.270508739422986,lsstr,30
1541,60547.08716512062,277.74927456533567,-54.8106829715205,23.794796734975158,198925,60.68918448577747,lssti,30
1542,60547.08901059577,275.1958800629432,-52.50957743108578,23.90203560253907,198929,54.981394998274105,lssti,30
1543,60547.089472455344,270.01560219514533,-52.724324953392674,23.88042466648084,198930,56.0867311370625,lssti,30
